pos;;Сумма;УИК №252;УИК №253;УИК №254;УИК №255;УИК №256;УИК №257;УИК №258;УИК №259;УИК №260;УИК №261;УИК №262;УИК №263;УИК №264;УИК №265;УИК №266;УИК №267;УИК №268;УИК №269;УИК №270;УИК №271;УИК №272;УИК №273;УИК №274;УИК №275;УИК №276;УИК №277;УИК №278;УИК №279;УИК №280;УИК №281;УИК №282;УИК №283;УИК №284;УИК №285;УИК №286;УИК №287;УИК №288;УИК №289;УИК №290;УИК №291;УИК №292;УИК №293;УИК №294;УИК №295;УИК №296;УИК №297;УИК №298;УИК №299;УИК №300;УИК №301;УИК №302;УИК №303;УИК №304;УИК №305;УИК №306;УИК №307;УИК №308;УИК №309;УИК №310;УИК №311;УИК №312;УИК №313;УИК №314;УИК №315;
1;Число участников голосования, включенных в список участников голосования на момент окончания голосования;132397;2308;2118;1731;2399;2408;1343;2289;2550;1128;2151;915;2381;2139;2431;2354;1276;2869;1495;2287;1619;1993;2309;2161;1907;2271;1231;2454;2518;2108;1496;2956;2418;1857;2282;1266;2224;2202;1906;1988;1697;947;1512;1881;1138;1020;2299;2105;2222;2154;2217;2056;1597;1921;2890;3124;2030;1964;2701;2696;2541;3009;1914;3324;1700;
2;Число бюллетеней, выданных участникам голосования;104273;1740;1682;1381;1930;1998;1082;1738;2039;1005;1698;769;2277;1592;1875;1858;971;2329;1210;1917;1257;1684;2009;1797;1399;1792;973;2176;1861;1565;1236;2395;1895;1509;1698;1032;1851;1796;1420;1583;1348;508;1189;1328;1037;820;1673;1815;2013;1956;1680;1357;1098;1371;1672;2650;1629;1484;2160;2166;2030;1899;1606;2436;1329;
3;Число бюллетеней, содержащихся в ящиках для голосования;104022;1727;1677;1375;1919;1998;1076;1736;2039;1005;1685;769;2275;1581;1862;1858;971;2328;1201;1917;1250;1684;2009;1797;1399;1790;968;2173;1856;1557;1236;2382;1895;1501;1689;1032;1851;1796;1412;1558;1348;508;1189;1328;1037;814;1670;1805;2013;1955;1674;1356;1094;1366;1669;2650;1629;1477;2150;2166;2029;1898;1604;2431;1328;
4;Число недействительных бюллетеней;511;4;7;12;7;7;2;6;7;2;9;3;14;7;8;2;4;12;4;0;6;10;34;20;11;18;4;19;9;3;4;7;13;5;6;9;2;8;3;7;4;8;2;15;5;3;7;7;5;34;10;8;13;8;9;2;6;2;4;2;11;3;7;7;14;
;Вы одобряете изменения в Конституцию Российской Федерации?;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;ДА;75067;1359;1306;1081;348;1577;243;364;1601;865;1297;613;1832;1247;1528;1409;826;1503;925;1796;985;1400;1476;1249;1053;1422;229;1775;1504;1246;1063;1910;1610;1258;334;845;1568;1452;1118;1216;229;325;968;1050;837;643;1273;1396;1666;1463;1340;951;659;906;1073;1795;1162;1167;1663;1827;1075;1266;1175;1772;953;
;;72.16%;78.69%;77.88%;78.62%;18.13%;78.93%;22.58%;20.97%;78.52%;86.07%;76.97%;79.71%;80.53%;78.87%;82.06%;75.83%;85.07%;64.56%;77.02%;93.69%;78.80%;83.14%;73.47%;69.50%;75.27%;79.44%;23.66%;81.68%;81.03%;80.03%;86%;80.18%;84.96%;83.81%;19.78%;81.88%;84.71%;80.85%;79.18%;78.05%;16.99%;63.98%;81.41%;79.07%;80.71%;78.99%;76.23%;77.34%;82.76%;74.83%;80.05%;70.13%;60.24%;66.33%;64.29%;67.74%;71.33%;79.01%;77.35%;84.35%;52.98%;66.70%;73.25%;72.89%;71.76%;
6;НЕТ;28444;364;364;282;1564;414;831;1366;431;138;379;153;429;327;326;447;141;813;272;121;259;274;499;528;335;350;735;379;343;308;169;465;272;238;1349;178;281;336;291;335;1115;175;219;263;195;168;390;402;342;458;324;397;422;452;587;853;461;308;483;337;943;629;422;652;361;
;;27.34%;21.08%;21.71%;20.51%;81.50%;20.72%;77.23%;78.69%;21.14%;13.73%;22.49%;19.90%;18.86%;20.68%;17.51%;24.06%;14.52%;34.92%;22.65%;6.31%;20.72%;16.27%;24.84%;29.38%;23.95%;19.55%;75.93%;17.44%;18.48%;19.78%;13.67%;19.52%;14.35%;15.86%;79.87%;17.25%;15.18%;18.71%;20.61%;21.50%;82.72%;34.45%;18.42%;19.80%;18.80%;20.64%;23.35%;22.27%;16.99%;23.43%;19.35%;29.28%;38.57%;33.09%;35.17%;32.19%;28.30%;20.85%;22.47%;15.56%;46.48%;33.14%;26.31%;26.82%;27.18%;
