pos;;Сумма;УИК №901;УИК №902;УИК №903;УИК №904;УИК №905;УИК №906;УИК №907;УИК №908;УИК №909;УИК №910;УИК №911;УИК №912;УИК №913;УИК №914;УИК №915;УИК №916;УИК №917;УИК №918;УИК №919;УИК №920;УИК №921;УИК №922;УИК №923;УИК №924;УИК №925;УИК №926;УИК №927;УИК №928;УИК №929;УИК №930;УИК №931;УИК №932;УИК №933;УИК №934;УИК №935;УИК №936;УИК №937;УИК №938;УИК №939;УИК №940;УИК №941;УИК №942;УИК №943;УИК №944;УИК №945;УИК №946;УИК №947;УИК №948;УИК №949;УИК №950;УИК №951;УИК №952;УИК №953;УИК №954;УИК №955;УИК №956;УИК №957;УИК №958;УИК №960;УИК №961;УИК №962;УИК №963;УИК №965;УИК №970;УИК №971;УИК №972;
1;Число участников голосования, включенных в список участников голосования на момент окончания голосования;133575;1386;3448;2626;2352;2783;1909;2102;1692;2071;1703;1842;2502;2118;1776;1856;1487;1707;1838;1981;2026;2201;2281;2279;1985;2459;1912;2022;2035;1782;1965;2223;1911;1968;1902;1914;2024;2163;1889;2411;1707;2372;1558;2264;3004;2620;1698;1717;1401;1816;2334;2023;1957;1773;2099;1432;2212;2208;2749;2553;2973;2416;2746;2085;500;678;149;
2;Число бюллетеней, выданных участникам голосования;98743;906;2438;1970;1762;2087;1413;1543;1238;1540;1277;1381;1680;1614;1332;1354;1070;1263;1296;1479;1557;1651;1640;1687;1394;1844;1407;1501;1524;1075;1470;1635;1644;1413;1412;1391;1491;1651;1360;1796;1280;1765;1185;1660;2222;1912;1232;1264;1022;1369;1686;1470;1465;1193;1576;1087;1617;1642;2035;1914;2228;1812;2054;1548;500;670;149;
3;Число бюллетеней, содержащихся в ящиках для голосования;98629;906;2438;1970;1762;2087;1413;1543;1238;1535;1277;1376;1680;1614;1332;1351;1070;1255;1286;1476;1555;1651;1640;1678;1388;1844;1407;1501;1524;1070;1464;1635;1644;1413;1412;1391;1490;1651;1360;1796;1280;1761;1184;1660;2222;1912;1231;1260;1022;1369;1678;1467;1465;1190;1576;1085;1617;1639;2027;1914;2228;1812;2041;1548;499;670;149;
4;Число недействительных бюллетеней;531;9;6;11;5;2;0;4;1;5;7;5;4;7;10;8;6;11;10;24;21;2;0;6;0;9;6;55;8;12;6;14;8;6;20;6;12;0;7;6;2;10;10;8;19;2;9;9;4;22;14;0;0;3;10;2;0;19;8;5;5;0;11;10;3;7;0;
;Вы одобряете изменения в Конституцию Российской Федерации?;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;ДА;72513;743;1750;1410;1229;1503;989;1102;891;1106;914;974;1190;1276;933;878;766;891;1090;1007;1223;1239;1185;1370;1094;1383;1009;1119;985;767;1058;1244;934;1092;1085;1149;1224;1218;952;1309;1063;1171;873;1333;1585;1375;966;939;744;972;1315;1001;1011;859;1198;761;1148;1407;1439;1359;1599;1305;1444;1191;451;582;141;
;;73.52%;82.01%;71.78%;71.57%;69.75%;72.02%;69.99%;71.42%;71.97%;72.05%;71.57%;70.78%;70.83%;79.06%;70.05%;64.99%;71.59%;70.99%;84.76%;68.22%;78.65%;75.05%;72.26%;81.64%;78.82%;75%;71.71%;74.55%;64.63%;71.68%;72.27%;76.09%;56.81%;77.28%;76.84%;82.60%;82.15%;73.77%;70%;72.88%;83.05%;66.50%;73.73%;80.30%;71.33%;71.91%;78.47%;74.52%;72.80%;71%;78.37%;68.23%;69.01%;72.18%;76.02%;70.14%;70.99%;85.85%;70.99%;71%;71.77%;72.02%;70.75%;76.94%;90.38%;86.87%;94.63%;
6;НЕТ;25585;154;682;549;528;582;424;437;346;424;356;397;486;331;389;465;298;353;186;445;311;410;455;302;294;452;392;327;531;291;400;377;702;315;307;236;254;433;401;481;215;580;301;319;618;535;256;312;274;375;349;466;454;328;368;322;469;213;580;550;624;507;586;347;45;81;8;
;;25.94%;16.99%;27.97%;27.87%;29.97%;27.89%;30.01%;28.32%;27.95%;27.62%;27.88%;28.85%;28.93%;20.51%;29.20%;34.42%;27.85%;28.13%;14.46%;30.15%;20%;24.83%;27.74%;17.99%;21.18%;24.51%;27.86%;21.79%;34.84%;27.20%;27.32%;23.06%;42.70%;22.29%;21.74%;16.97%;17.05%;26.23%;29.49%;26.78%;16.80%;32.94%;25.42%;19.22%;27.81%;27.98%;20.80%;24.76%;26.81%;27.39%;20.80%;31.77%;30.99%;27.56%;23.35%;29.68%;29%;12.99%;28.61%;28.74%;28.01%;27.98%;28.71%;22.42%;9.02%;12.09%;5.37%;
