pos;;Сумма;УИК №1239;УИК №1240;УИК №1241;УИК №1242;УИК №1243;УИК №1244;УИК №1245;УИК №1246;УИК №1247;УИК №1248;УИК №1249;УИК №1250;УИК №1251;УИК №1252;УИК №1253;УИК №1254;УИК №1255;УИК №1256;УИК №1257;УИК №1258;УИК №1259;УИК №1260;УИК №1261;УИК №1262;УИК №1263;УИК №1264;УИК №1265;УИК №1266;УИК №1267;УИК №1268;УИК №1269;УИК №1270;УИК №1271;УИК №1272;УИК №1273;УИК №1274;УИК №1275;УИК №1276;УИК №1277;
1;Число участников голосования, включенных в список участников голосования на момент окончания голосования;50344;1787;2528;2650;2188;1247;1452;1709;1387;1364;1872;1331;1369;1819;1655;1910;1233;624;1082;1319;1625;1166;1414;667;2077;1709;846;1298;776;1607;848;372;114;1040;705;1673;1044;693;29;115;
2;Число бюллетеней, выданных участникам голосования;32355;1019;1413;1550;1513;916;1057;937;771;774;759;699;555;1040;792;856;928;433;848;755;1120;817;795;597;1460;1196;572;988;469;1350;823;350;80;912;658;708;1029;675;29;112;
3;Число бюллетеней, содержащихся в ящиках для голосования;32337;1017;1413;1550;1513;916;1057;937;771;774;756;698;555;1040;792;855;928;433;843;755;1120;817;795;597;1460;1195;571;987;469;1350;823;349;80;912;657;707;1029;675;29;112;
4;Число недействительных бюллетеней;234;3;6;9;4;7;9;7;8;4;10;8;5;6;6;6;0;4;3;5;4;3;5;7;31;17;5;10;4;7;9;2;0;8;4;2;5;1;0;0;
;Вы одобряете изменения в Конституцию Российской Федерации?;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;ДА;23530;719;981;1082;1208;657;748;654;518;558;497;488;382;704;579;594;647;300;666;546;969;641;486;407;1144;929;409;703;373;842;712;267;59;631;550;364;985;395;28;108;
;;72.76%;70.70%;69.43%;69.81%;79.84%;71.72%;70.77%;69.80%;67.19%;72.09%;65.74%;69.91%;68.83%;67.69%;73.11%;69.47%;69.72%;69.28%;79%;72.32%;86.52%;78.46%;61.13%;68.17%;78.36%;77.74%;71.63%;71.23%;79.53%;62.37%;86.51%;76.50%;73.75%;69.19%;83.71%;51.49%;95.72%;58.52%;96.55%;96.43%;
6;НЕТ;8573;295;426;459;301;252;300;276;245;212;249;202;168;330;207;255;281;129;174;204;147;173;304;183;285;249;157;274;92;501;102;80;21;273;103;341;39;279;1;4;
;;26.51%;29.01%;30.15%;29.61%;19.89%;27.51%;28.38%;29.46%;31.78%;27.39%;32.94%;28.94%;30.27%;31.73%;26.14%;29.82%;30.28%;29.79%;20.64%;27.02%;13.13%;21.18%;38.24%;30.65%;19.52%;20.84%;27.50%;27.76%;19.62%;37.11%;12.39%;22.92%;26.25%;29.93%;15.68%;48.23%;3.79%;41.33%;3.45%;3.57%;
